n,p,k,temperature,humidity,ph,rainfall,rainfall_deviation_pct,npk_score,temp_favorability,humidity_favorability,ph_suitability,growth_potential,water_stress,crop,crop_name
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,100.0,31.818181818181817,87.63923113,65.99451153999999,99.95522061999999,71.35178627704545,0.0,20,rice
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,100.0,33.45454545454545,90.31138507,69.36071184,91.928554585,71.26379923738637,0.0,20,rice
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,100.0,28.909090909090907,94.01337745,65.35847419999999,79.89689284,67.04445884977272,0.0,20,rice
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,100.0,27.090909090909093,95.52671095,69.68327471999999,92.793986425,71.27372029647726,0.0,20,rice
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,100.0,29.454545454545457,85.39052446,66.79025426000001,83.072906635,66.17705770238636,0.0,20,rice
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,100.0,26.90909090909091,94.17414615999999,63.25976456000001,91.398197455,68.93529977102273,0.0,20,rice
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,100.0,29.454545454545457,93.12651394,64.72117212,88.0120852,68.82857917863636,0.0,20,rice
94,53,40,20.27774362,82.89408619,5.718627177999999,241.9741949,100.0,34.0,85.83323086,64.21182762000001,88.27940766999998,68.08111653750001,0.0,20,rice
89,54,38,24.51588066,83.53521629999999,6.685346424,230.4462359,100.0,32.90909090909091,98.54764198000001,62.929567400000025,97.21980364000001,72.90152598227274,0.0,20,rice
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,100.0,29.818181818181817,94.67192158,63.93354618000001,97.543802875,71.49186311329545,0.0,20,rice
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,100.0,33.45454545454545,95.41829461,67.16492308,83.29251682,69.83256999113637,0.0,20,rice
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,100.0,32.36363636363636,96.93694651,67.09876808000001,84.9574906,70.3392103884091,0.0,20,rice
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,100.0,32.72727272727273,94.59761187999999,68.22630355999999,79.13022679,68.67035373931817,0.0,20,rice
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,85.27733889999999,33.63636363636363,97.04492866000001,65.88625636,92.7346951,72.3255609390909,0.0,20,rice
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,100.0,32.90909090909091,98.00244384999999,68.6722991,93.27970255,73.21588410227272,0.0,20,rice
60,48,39,24.28209415,80.30025587,7.042299068999999,231.0863347,100.0,26.727272727272727,97.84628244999999,69.39948826,91.865513965,71.45963935056818,0.0,20,rice
85,38,41,21.58711777,82.7883708,6.2490506560000005,276.65524589999995,100.0,29.818181818181817,89.76135331,64.42325840000001,96.23575984000001,70.05963834204546,0.0,20,rice
91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,100.0,30.0,96.38175871,69.16364085999999,92.93710369,72.120625815,0.0,20,rice
77,38,36,21.8652524,80.1923008,5.953933276,224.55501690000003,100.0,27.454545454545453,90.5957572,69.6153984,91.80899914,69.86867504863636,0.0,20,rice
88,35,40,23.57943626,83.58760316,5.85393208,291.2986618000001,100.0,29.63636363636364,95.73830878000001,62.82479368,90.3089812,69.62711182409092,0.0,20,rice
89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,85.4974732,30.909090909090907,88.97512474,69.05047207999999,99.137130625,72.01795458852273,0.0,20,rice
76,40,43,25.15745531,83.11713476,5.070175667,231.3843163,100.0,28.909090909090907,99.52763407,63.76573048,78.552635005,67.68877261602273,0.0,20,rice
67,59,41,21.94766735,80.97384195,6.012632591,213.3560921,100.0,30.363636363636363,90.84300205,68.05231610000001,92.689488865,70.48711084465909,0.0,20,rice
83,41,43,21.0525355,82.67839517,6.254028451,233.1075816,100.0,30.363636363636363,88.1576065,64.64320966,96.310426765,69.8687198221591,0.0,20,rice
98,47,37,23.48381344,81.33265073,7.375482851,224.0581164,100.0,33.09090909090909,95.45144031999999,67.33469854,86.867757235,70.68620129647726,0.0,20,rice
